movie,production_budget,domestic_gross,production_profit_domestic
The Young Unknowns,800000,58163,-741837
The Pirate,3700000,2956000,-744000
DysFunkTional Family,3000000,2255000,-745000
Bled,750000,0,-750000
Adulterers,750000,0,-750000
All the Boys Love Mandy Lane,750000,0,-750000
Destiny,750000,0,-750000
Freddy Got Fingered,15000000,14249005,-750995
DÃ¸d snÃ¸,800000,46742,-753258
Faster,24000000,23240020,-759980
Die FÃ¤lscher,6250000,5488570,-761430
Not Cool,800000,35688,-764312
The Invitation,1000000,231738,-768262
Kill List,800000,29063,-770937
Guiana 1838,1000000,227241,-772759
Iraq for Sale: The War Profiteers,775000,0,-775000
My Best Friend's Girl,20000000,19219250,-780750
Kinsey,11000000,10214647,-785353
Love Liza,1000000,213137,-786863
The Ballad of Jack and Rose,1500000,712294,-787706
Center Stage,18000000,17200925,-799075
Vessel,800000,0,-800000
Rabbit-Proof Fence,7000000,6199600,-800400
Crying With Laughter,820000,0,-820000
Que Horas Ela Volta?,1200000,376976,-823024
London to Brighton,825000,0,-825000
Windsor Drive,850000,3256,-846744
Get Real,2000000,1152411,-847589
Snitch,850000,0,-850000
Harrison Montgomery,850000,0,-850000
Sex with Strangers,1100000,247740,-852260
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,1000000,144601,-855399
Requiem for a Dream,4500000,3635482,-864518
In the Shadow of the Moon,2000000,1134358,-865642
Jason X,14000000,13121555,-878445
Lisa Picard is Famous,1000000,113433,-886567
The Giant Mechanical Man,900000,7396,-892604
The Brass Teapot,900000,6997,-893003
Beyond the Brick: A LEGO Brickumentary,1000000,101531,-898469
The House of the Devil,1000000,101215,-898785
L!fe Happens,930000,30905,-899095
Le bonheur d'Elza,900000,0,-900000
40 Weeks,900000,0,-900000
Hardflip,1000000,96734,-903266
Kate and Leopold,48000000,47095453,-904547
Rocket Singh: Salesman of the Year,1070000,164649,-905351
Food Chains,913000,0,-913000
Adam,3200000,2283291,-916709
Bottle Shock,5000000,4078607,-921393
Creative Control,1000000,63014,-936986
Norm of the North,18000000,17062499,-937501
Buried,1987650,1044143,-943507
Q,1200000,255000,-945000
House of Flying Daggers,12000000,11050094,-949906
Ask Me Anything,950000,0,-950000
Banshee Chapter,950000,0,-950000
Trance,950000,0,-950000
Jesse,950000,0,-950000
Chocolate: Deep Dark Secrets,1000000,49000,-951000
The Perfect Host,1000000,48764,-951236
Don't Be Afraid of the Dark,25000000,24046682,-953318
Higher Ground,1800000,841056,-958944
The History Boys,3700000,2730296,-969704
Crooklyn,14000000,13024170,-975830
The Last Big Thing,1000000,22434,-977566
Safe Men,1000000,21210,-978790
And Then Came Love,989000,8158,-980842
Speedway Junky,1000000,17127,-982873
Hits,1000000,15156,-984844
The Specials,1000000,12996,-987004
16 to Life,1000000,11574,-988426
Unsullied,1500000,510957,-989043
Alone with Her,1000000,10787,-989213
Camp X-Ray,1000000,9837,-990163
Special,1000000,7202,-992798
The Sisterhood of Night,1000000,6870,-993130
Sparkler,1000000,5494,-994506
The Helixâ¦Loaded,1000000,3700,-996300
Childless,1000000,1036,-998964
In Her Line of Fire,1000000,884,-999116
The Jimmy Show,1000000,703,-999297
American Hero,1000000,0,-1000000
Heli,1000000,0,-1000000
Karachi se Lahore,1000000,0,-1000000
Loving Annabelle,1000000,0,-1000000
Hush,1000000,0,-1000000
Frat Party,1000000,0,-1000000
Zombie Hunter,1000000,0,-1000000
State Fair,4500000,3500000,-1000000
Jimmy and Judy,1000000,0,-1000000
Chemical Cut,1000000,0,-1000000
The Horror Network,1000000,0,-1000000
1982,1000000,0,-1000000
Bang Bang Baby,1000000,0,-1000000
The Pet,1000000,0,-1000000
Fear Clinic,1000000,0,-1000000
A Fine Step,1000000,0,-1000000
Doc Holliday's Revenge,1000000,0,-1000000
Por amor en el caserio,1000000,0,-1000000
Hidden Away,1000000,0,-1000000
Steppin: The Movie,1000000,0,-1000000
Black Rock,1000000,0,-1000000
Truth or Die,1000000,0,-1000000
Snow White: A Deadly Summer,1000000,0,-1000000
Zombies of Mass Destruction,1000000,0,-1000000
My Last Day Without You,1000000,0,-1000000
Proud,1000000,0,-1000000
The Party's Over,1000000,0,-1000000
The Poker House,1000000,0,-1000000
Above and Beyond,1300000,288751,-1011249
Closer,35000000,33987757,-1012243
Meek's Cutoff,2000000,977772,-1022228
Joy Ride,23000000,21973182,-1026818
Beyond the Black Rainbow,1100000,56491,-1043509
Des Hommes et Des Dieux,5000000,3954651,-1045349
The Babadook,2000000,950792,-1049208
Dracula: Pages from a Virgin's Diary,1100000,39659,-1060341
Waiting for Guffman,4000000,2922988,-1077012
Killing Zoe,1500000,418953,-1081047
Def-Con 4,1300000,210904,-1089096
The Believer,1500000,406035,-1093965
The Holy Girl,1400000,304124,-1095876
Snow Angels,1500000,402858,-1097142
The Sleepwalker,1100000,2636,-1097364
Departure,1100000,0,-1100000
The Vatican Exorcisms,1100000,0,-1100000
Faith Like Potatoes,1100000,0,-1100000
Silent Running,1100000,0,-1100000
Lake Mungo,1100000,0,-1100000
The Dead Undead,1100000,0,-1100000
Georgia Rule,20000000,18882880,-1117120
Dead Man's Shoes,1125000,6408,-1118592
Camping Sauvage,4600000,3479302,-1120698
Session 9,1500000,378176,-1121824
MOOZ-lum,1500000,362239,-1137761
La chambre bleue,1400000,260441,-1139559
The Virgin Suicides,6000000,4859475,-1140525
Down & Out with the Dolls,1200000,58936,-1141064
One Day,15000000,13843771,-1156229
Movie 43,10000000,8840453,-1159547
POM Wonderful Presents: The Greatest Movie Ever Sold,1800000,638476,-1161524
"Pink Ribbons, Inc.",1200000,26608,-1173392
Under the Rainbow,20000000,18826490,-1173510
Tusk,3000000,1821983,-1178017
Out of the Dark,1600000,419428,-1180572
Blood Feast,1200000,8708,-1191292
Certifiably Jonathan,1200000,7826,-1192174
La navaja de Don Juan,1200000,4254,-1195746
Can You Ever Forgive Me?,10000000,8803865,-1196135
Mona Lisa Smile,65000000,63803100,-1196900
The Wall,3000000,1803064,-1196936
Body Double,10000000,8801940,-1198060
Neal n' Nikki,1300000,100358,-1199642
Airborne,1200000,0,-1200000
Cotton Comes to Harlem,1200000,0,-1200000
Grand Theft Parsons,1200000,0,-1200000
The Islands,1200000,0,-1200000
Crowsnest,1200000,0,-1200000
Below Zero,1200000,0,-1200000
The Wicked Within,1200000,0,-1200000
The Charge of the Light Brigade,1200000,0,-1200000
Extreme Movie,1200000,0,-1200000
Bleeding Hearts,1200000,0,-1200000
Love Stinks,4000000,2793776,-1206224
Radio Days,16000000,14792779,-1207221
Jesus' Son,2500000,1282084,-1217916
Bully,2100000,881824,-1218176
Mollyâs Game,30000000,28780744,-1219256
Logan Lucky,29000000,27778642,-1221358
The Hebrew Hammer,1300000,77755,-1222245
Me and Earl and the Dying Girl,8000000,6758416,-1241584
Firewall,50000000,48751189,-1248811
Bodom,1250000,0,-1250000
Da Sweet Blood of Jesus,1250000,0,-1250000
How Green Was My Valley,1250000,0,-1250000
Diary of a Wimpy Kid: The Long Haul,22000000,20738724,-1261276
Los insolitos peces gato,1300000,11278,-1288722
Loving,9000000,7710234,-1289766
Jekyll and Hyde... Together Again,5000000,3707583,-1292417
Travellers and Magicians,1800000,506793,-1293207
Simon,1300000,4055,-1295945
Catch That Kid,18000000,16703799,-1296201
The Five-Year Engagement,30000000,28700285,-1299715
The Algerian,1300000,0,-1300000
Forget Me Not,1300000,0,-1300000
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,1300000,0,-1300000
Jack Reacher: Never Go Back,60000000,58697076,-1302924
Yes,1700000,396035,-1303965
I Want Someone To Eat Cheese With,1500000,194568,-1305432
College,6000000,4694491,-1305509
Who's Your Caddy?,7000000,5694308,-1305692
Inside Deep Throat,2000000,691880,-1308120
Saving Face,2500000,1187266,-1312734
Amigo,1500000,184705,-1315295
Larry the Cable Guy: Health Inspector,17000000,15680099,-1319901
Hatchet,1500000,175281,-1324719
My Name is Bruce,1500000,173066,-1326934
Samsara,4000000,2672413,-1327587
La science des rÃªves,6000000,4670644,-1329356
Mad Money,22000000,20668843,-1331157
The Disappearance of Alice Creed,1500000,166980,-1333020
Modern Times,1500000,163245,-1336755
Monster House,75000000,73661010,-1338990
The Salon,1500000,139084,-1360916
Dinner Rush,2000000,638227,-1361773
Incident at Loch Ness,1400000,36830,-1363170
The Virginity Hit,2000000,636706,-1363294
The Square,1500000,124244,-1375756
Batman - The Movie,1377800,0,-1377800
Stolen Summer,1500000,119841,-1380159
Table 19,5000000,3614896,-1385104
Road Hard,1500000,113169,-1386831
Thr3e,2400000,1008849,-1391151
Eddie: The Sleepwalking Cannibal,1400000,1632,-1398368
House at the End of the Drive,1400000,0,-1400000
My Girlfriend's Boyfriend,1400000,0,-1400000
Kurmanjan datka,1400000,0,-1400000
Mommy,4900000,3498695,-1401305
Little Voice,6000000,4595000,-1405000
Brick Lane,2500000,1094998,-1405002
The Losers,25000000,23591432,-1408568
Brotherly Love,1900000,478595,-1421405
Forty Shades of Blue,1500000,75828,-1424172
Submarine,1900000,467602,-1432398
I Think I Love My Wife,14000000,12559771,-1440229
Trucker,1500000,52429,-1447571
Bubble,1600000,145382,-1454618
Sex Tape,40000000,38543473,-1456527
Miss March,6000000,4543320,-1456680
Clockwatchers,2000000,537948,-1462052
Dil Jo Bhi Kahey...,1600000,129319,-1470681
MacGruber,10000000,8525600,-1474400
Love and Death on Long Island,4030000,2542264,-1487736
The Square,1900000,406216,-1493784
Pontypool,1500000,3865,-1496135
"Me, You and Five Bucks",1500000,2105,-1497895
Housebound,1500000,0,-1500000
Teefa in Trouble,1500000,0,-1500000
Wal-Mart: The High Cost of Low Price,1500000,0,-1500000
Closer to the Moon,1500000,0,-1500000
Fetching Cody,1500000,0,-1500000
The Lion of Judah,1500000,0,-1500000
Once Upon a Time in Queens,1500000,0,-1500000
Girlhouse,1500000,0,-1500000
Mutant World,1500000,0,-1500000
Checkmate,1500000,0,-1500000
#Horror,1500000,0,-1500000
Split Second,7000000,5430822,-1569178
Mississippi Mermaid,1600000,27795,-1572205
You Kill Me,4000000,2426851,-1573149
Street Fighter,35000000,33423000,-1577000
The Kingâs Thief,1577000,0,-1577000
Black Knight,35000000,33422806,-1577194
Two Night Stand,1600000,15600,-1584400
I Love Your Work,1600000,3264,-1596736
Ladyhawke,20000000,18400000,-1600000
Simply Irresistible,6000000,4398989,-1601011
May,1750000,145540,-1604460
Subway,2000000,390659,-1609341
House of D,2000000,388532,-1611468
Florence Foster Jenkins,29000000,27383770,-1616230
It's Kind of a Funny Story,8000000,6363628,-1636372
Into the Wild,20000000,18354356,-1645644
Teeth,2000000,347578,-1652422
I Spit on Your Grave,1750000,93051,-1656949
Gone in 60 Seconds,103300000,101643008,-1656992
Braid,1660000,0,-1660000
De-Lovely,15000000,13337299,-1662701
ABCD (Any Body Can Dance),1900000,222098,-1677902
Hot Tub Time Machine 2,14000000,12314651,-1685349
Stonewall,2000000,304602,-1695398
"Dancer, Texas Pop. 81",2300000,574838,-1725162
Elephant,3000000,1266955,-1733045
The Game,50000000,48265581,-1734419
Simon Birch,20000000,18253415,-1746585
Living Dark: The Story of Ted the Caver,1750000,0,-1750000
Glengarry Glen Ross,12500000,10725228,-1774772
Green Room,5000000,3220371,-1779629
Elling,2100000,313436,-1786564
Barfi,4600000,2804874,-1795126
Diary of the Dead,2750000,952620,-1797380
Ed and his Dead Mother,1800000,673,-1799327
Beginnerâs Guide to Sex,1800000,0,-1800000
Against the Wild,1800000,0,-1800000
Independence Daysaster,1800000,0,-1800000
Dysfunctional Friends,1800000,0,-1800000
Deadline,1800000,0,-1800000
Sublime,1800000,0,-1800000
Sherrybaby,2000000,199176,-1800824
Sorority Boys,12000000,10198766,-1801234
The Last Sin Eater,2200000,388390,-1811610
Scream 4,40000000,38180928,-1819072
Peeples,11000000,9177065,-1822935
What's Eating Gilbert Grape,11000000,9170214,-1829786
G.I. Jane,50000000,48169156,-1830844
The Prince & Me,30000000,28165882,-1834118
Homefront,22000000,20158492,-1841508
The Last Five Years,2000000,147299,-1852701
Six-String Samurai,2000000,134624,-1865376
Jobs,18000000,16131410,-1868590
Les Choristes,5500000,3629758,-1870242
The Drop,12600000,10724389,-1875611
Hum to Mohabbt Karega,2000000,121807,-1878193
It's All Gone Pete Tong,2000000,120620,-1879380
Chacun sa nuit,1900000,18435,-1881565
Dirty Pretty Things,10000000,8112414,-1887586
How to Deal,16000000,14108518,-1891482
Saint John of Las Vegas,2000000,102645,-1897355
Stranded,1900000,0,-1900000
Vaalu,1900000,0,-1900000
Pooh's Heffalump Movie,20000000,18098433,-1901567
Fighting,25000000,23091010,-1908990
Ri¢hie Ri¢h,40000000,38087756,-1912244
Whip It,15000000,13077184,-1922816
Thoroughbreds,5000000,3072605,-1927395
24 7: Twenty Four Seven,2000000,72544,-1927456
Pump,2000000,72277,-1927723
Baywatch,60000000,58060186,-1939814
Roadside Romeo,2000000,55202,-1944798
Marshall,12000000,10051659,-1948341
The Marine 4,1950000,0,-1950000
The Lost Medallion: The Adventures of Billy Stone,2500000,549632,-1950368
Eureka,2000000,49388,-1950612
Heavenly Creatures,5000000,3046086,-1953914
Lost River,2000000,45431,-1954569
Idiocracy,2400000,444093,-1955907
This Thing of Ours,2000000,37227,-1962773
Knock Knock,2000000,36336,-1963664
Growing up Smith,2000000,35312,-1964688
Super Capers,2000000,30955,-1969045
The American President,62000000,60022813,-1977187
Return of the Living Dead 3,2000000,21000,-1979000
Left Behind,16000000,14019924,-1980076
Nikita,7000000,5017971,-1982029
The Missing Person,2000000,17896,-1982104
A Walk Among the Tombstones,28000000,26017685,-1982315
The First Time,2000000,17061,-1982939
The Age of Innocence,34000000,32014993,-1985007
London,2000000,12667,-1987333
Circle,2000000,10024,-1989976
Damsels in Distress,3000000,1007535,-1992465
Eden Lake,2000000,7321,-1992679
Jerusalema,2000000,7294,-1992706
Say Uncle,2000000,5361,-1994639
The Astronaut Farmer,13000000,11003643,-1996357
Plush,2000000,3080,-1996920
The Ghastly Love of Johnny X,2000000,2436,-1997564
The Other Side of the Door,5000000,3000342,-1999658
The Dog Lover,2000000,0,-2000000
Lesbian Vampire Killers,2000000,0,-2000000
Nine Dead,2000000,0,-2000000
Grave Encounters,2000000,0,-2000000
Bone Tomahawk,2000000,0,-2000000
Freeze Frame,2000000,0,-2000000
Stitches,2000000,0,-2000000
The Wiz,24000000,22000000,-2000000
Bananas,2000000,0,-2000000
Shark Lake,2000000,0,-2000000
Wind Walkers,2000000,0,-2000000
No Man's Land: The Rise of Reeker,2000000,0,-2000000
The Curse of Downers Grove,2000000,0,-2000000
True Bromance,2000000,0,-2000000
The Walking Deceased,2000000,0,-2000000
Slacker Uprising,2000000,0,-2000000
A Funny Thing Happened on the Way to the Forum,2000000,0,-2000000
Pendulum,2000000,0,-2000000
Lucky Dog,2000000,0,-2000000
Coffee Town,2000000,0,-2000000
Small Apartments,2000000,0,-2000000
Highway,2000000,0,-2000000
The Legend of Hellâs Gate: An American Conspiracy,2000000,0,-2000000
Straight A's,2000000,0,-2000000
The Lady from Shanghai,2000000,0,-2000000
Wings,2000000,0,-2000000
Rockaway,2000000,0,-2000000
"To Be Frank, Sinatra at 100",2000000,0,-2000000
L\'auberge espagnole,5900000,3895664,-2004336
The Pirates Who Don't Do Anything: A VeggieTales Movie,15000000,12981269,-2018731
Juwanna Mann,15600000,13571817,-2028183
This is England,2380000,327919,-2052081
My Life Without Me,2500000,432360,-2067640
Soul Plane,16000000,13922211,-2077789
Mi America,2100000,3330,-2096670
Lies in Plain Sight,2100000,0,-2100000
The Timber,2100000,0,-2100000
Sharkskin,2100000,0,-2100000
[Rec],2100000,0,-2100000
Infected,2100000,0,-2100000
U2 3D,15000000,12898847,-2101153
The Bad News Bears,35000000,32868349,-2131651
My Stepmother Is an Alien,16000000,13854000,-2146000
Jack Brooks: Monster Slayer,2150000,0,-2150000
Marilyn Hotchkiss' Ballroom Dancing and Charm School,2500000,349132,-2150868
Chicken Tikka Masala,2160000,0,-2160000
Super,2500000,327716,-2172284
School for Scoundrels,20000000,17807569,-2192431
Highlander: Endgame,15000000,12801190,-2198810
Impact Point,2200000,0,-2200000
The Founder,15000000,12786053,-2213947
Bad Words,10000000,7779614,-2220386
All is Lost,8500000,6263670,-2236330
Frontera,2300000,59696,-2240304
Autumn in New York,40000000,37752931,-2247069
Fool's Gold,72500000,70231041,-2268959
Go For It!,2450000,180237,-2269763
Redemption Road,2300000,29384,-2270616
The Other Side of Heaven,7000000,4720371,-2279629
Everything Must Go,5000000,2712131,-2287869
Oldboy,3000000,707391,-2292609
Hobo with a Shotgun,3000000,703372,-2296628
The Toxic Avenger Part II,2300000,0,-2300000
Eden,2300000,0,-2300000
The Brave Little Toaster,2300000,0,-2300000
Artie Lange's Beer League,2800000,475000,-2325000
Fuel,2500000,174255,-2325745
Jumper,82500000,80172128,-2327872
Idlewild,15000000,12669914,-2330086
The D Train,3000000,669688,-2330312
"Good Bye, Lenin!",6400000,4063859,-2336141
The Pallbearer,8000000,5656388,-2343612
Life as a House,18000000,15652637,-2347363
The Hotel New Hampshire,7500000,5142858,-2357142
The Savages,9000000,6623082,-2376918
LÃ¥t den rÃ¤tte komma in,4500000,2122085,-2377915
Valley of the Hearts Delight,2500000,118666,-2381334
The Other End of the Line,2500000,115504,-2384496
Into the Storm,50000000,47602194,-2397806
8: The Mormon Proposition,2500000,100280,-2399720
Always Woodstock,2400000,0,-2400000
NiktÃ©,2400000,0,-2400000
Wish I Was Here,6000000,3591299,-2408701
While We're Young,10000000,7582065,-2417935
Sleep Dealer,2500000,80136,-2419864
Eye of the Dolphin,2500000,72210,-2427790
Over Her Dead Body,10000000,7570127,-2429873
Underdogs,2500000,35017,-2464983
Silent Hill: Revelation 3D,20000000,17530219,-2469781
Igor,22000000,19528602,-2471398
The Pianist,35000000,32519322,-2480678
Agent Cody Banks 2: Destination London,26000000,23514247,-2485753
Anatomie,2500000,9598,-2490402
Shame,6500000,4002293,-2497707
8 Days,2500000,0,-2500000
Not Safe For Work,2500000,0,-2500000
The Rise of the Krays,2500000,0,-2500000
Antibirth,2500000,0,-2500000
Sky Sharks,2500000,0,-2500000
Stung,2500000,0,-2500000
Christmas Mail,2500000,0,-2500000
Alien Uprising,2500000,0,-2500000
The Calling,2500000,0,-2500000
War,25000000,22486409,-2513591
A Wrinkle in Time,103000000,100478608,-2521392
Home for the Holidays,20000000,17468887,-2531113
Sunshine State,5600000,3064356,-2535644
Kill the Messenger,5000000,2450846,-2549154
Bachelorette,3000000,446770,-2553230
The Zookeeperâs Wife,20000000,17445186,-2554814
Los CronocrÃ­menes,2600000,39127,-2560873
The Art of Getting By,4000000,1430241,-2569759
Paul,40000000,37412945,-2587055
La Cara Oculta,2600000,0,-2600000
Timber Falls,2600000,0,-2600000
Silver Medalist,2600000,0,-2600000
"Fat, Sick & Nearly Dead",2600000,0,-2600000
Believe,3500000,890303,-2609697
La otra conquista,3500000,886410,-2613590
Fish Tank,3000000,374675,-2625325
Dark Angel,7000000,4372561,-2627439
The Dress,2650000,16556,-2633444
Saving Silverman,22000000,19351569,-2648431
Everybody Wants to Be Italian,3000000,351416,-2648584
Venus,6000000,3347411,-2652589
Diane,2660000,0,-2660000
Creature,3000000,331000,-2669000
Thumbsucker,4000000,1328679,-2671321
Veronica Mars,6000000,3322127,-2677873
The Bounce Back,3000000,321910,-2678090
Bones,10000000,7316658,-2683342
The Incredible Hulk,137500000,134806913,-2693087
Nochnoy dozor,4200000,1502188,-2697812
Rejsen til Saturn,2700000,0,-2700000
Sardaar Ji,2700000,0,-2700000
Freeway,3000000,295493,-2704507
Summer of Sam,22000000,19288130,-2711870
Youth in Revolt,18000000,15285588,-2714412
Only the Strong,6000000,3273588,-2726412
Love's Abiding Joy,3000000,252726,-2747274
Bobby,14000000,11242801,-2757199
Dead Alive,3000000,242623,-2757377
Jagten,3450000,687185,-2762815
Fired Up,20000000,17231291,-2768709
Rabbit Hole,5000000,2229058,-2770942
Confidence,15000000,12212417,-2787583
Chain Letter,3000000,205842,-2794158
Tim and Eric's Billion Dollar Movie,3000000,201436,-2798564
Freakonomics,2900000,101270,-2798730
La Vie d'AdÃ¨le â Chapitres 1 & 2,5250000,2450504,-2799496
Tango,4500000,1687311,-2812689
Jem and the Holograms,5000000,2184640,-2815360
American Honey,3500000,663247,-2836753
Holly,3000000,163069,-2836931
And So It Goes,18000000,15160801,-2839199
Persepolis,7300000,4443403,-2856597
Paterson,5000000,2141423,-2858577
The Guilt Trip,40000000,37134215,-2865785
The Eclipse,3000000,133411,-2866589
Chasing Papi,9000000,6126237,-2873763
Griff the Invisible,2900000,20778,-2879222
The Judge,50000000,47119388,-2880612
The Grand,3000000,115879,-2884121
The Bronze,3500000,615816,-2884184
Kung Fu Hustle,20000000,17104669,-2895331
Sommersturm,3000000,95204,-2904796
L\'incomparable mademoiselle C.,3400000,493905,-2906095
Zero Effect,5000000,2080693,-2919307
Fort McCoy,3000000,78948,-2921052
Seeking a Friend for the End of the World,10000000,7078738,-2921262
The Forbidden Kingdom,55000000,52075270,-2924730
Hedwig and the Angry Inch,6000000,3067312,-2932688
Red State,4000000,1065429,-2934571
House of Wax,35000000,32064800,-2935200
The Gambler,3000000,51773,-2948227
The Way of the Gun,9000000,6047856,-2952144
Just Looking,3000000,39852,-2960148
Amour,9700000,6738954,-2961046
Before We Go,3000000,37151,-2962849
Don Juan DeMarco,25000000,22032635,-2967365
Maze Runner: The Death Cure,61000000,58032443,-2967557
Turistas,10000000,7027762,-2972238
Dirty Work,13000000,10020081,-2979919
Woman on Top,8000000,5018450,-2981550
The Divide,3000000,18000,-2982000
Lady in White,4700000,1705139,-2994861
Tanner Hall,3000000,5073,-2994927
My Big Fat Independent Movie,3000000,4655,-2995345
Chicago Overcoat,3000000,0,-3000000
Demonic,3000000,0,-3000000
Ã l\'intÃ©rieur,3000000,0,-3000000
They Came Together,3000000,0,-3000000
Open Road,3000000,0,-3000000
Alice in Wonderland,3000000,0,-3000000
Barry Munday,3000000,0,-3000000
The Deported,3000000,0,-3000000
Unnatural,3000000,0,-3000000
Never Back Down 2: The Beatdown,3000000,0,-3000000
AWOL-72,3000000,0,-3000000
30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,3000000,0,-3000000
Enter the Dangerous Mind,3000000,0,-3000000
Something Wicked,3000000,0,-3000000
Point Blank,3000000,0,-3000000
Iguana,3000000,0,-3000000
Four Single Fathers,3000000,0,-3000000
Amnesiac,3000000,0,-3000000
Close Range,3000000,0,-3000000
Salvador,4500000,1500000,-3000000
The Country Bears,20000000,16988996,-3011004
Silent Hill,50000000,46982632,-3017368
Donnie Darko,4500000,1480006,-3019994
Take Shelter,4750000,1728953,-3021047
The 5th Wave,38000000,34912982,-3087018
Thomas and the Magic Railroad,19000000,15911332,-3088668
Salvando al Soldado Perez,4500000,1400726,-3099274
Shut In,10000000,6900335,-3099665
Antiviral,3100000,0,-3100000
Rang De Basanti,5300000,2197694,-3102306
Flatliners,20000000,16883115,-3116885
MirrorMask,4000000,864959,-3135041
Cedar Rapids,10000000,6861102,-3138898
Feast,3200000,56131,-3143869
Animal Kingdom,4200000,1044039,-3155961
A Lot Like Love,25000000,21835784,-3164216
The Collection,10000000,6810754,-3189246
Human Traffic,3300000,104257,-3195743
"I Love You, Beth Cooper",18000000,14800725,-3199275
The Barbarians,4000000,800000,-3200000
Wilson,5200000,2000000,-3200000
Casa de Areia,3750000,539285,-3210715
The Rage: Carrie 2,21000000,17760244,-3239756
Dreaming of Joseph Lees,3250000,7680,-3242320
Trolljegeren,3500000,253444,-3246556
Dear Frankie,4600000,1340891,-3259109
Men with Brooms,7500000,4239767,-3260233
Ira and Abby,3500000,221096,-3278904
Billy: The Early Years of Billy Graham,3600000,320896,-3279104
The Dead Girl,3300000,19875,-3280125
American History X,10000000,6719864,-3280136
Held Up,8000000,4714090,-3285910
A Civil Action,60000000,56709981,-3290019
The Opposite Sex,3300000,0,-3300000
Winnie the Pooh,30000000,26692846,-3307154
The Masked Saint,3500000,182695,-3317305
Colombiana,40000000,36665854,-3334146
Knockaround Guys,15000000,11660180,-3339820
Witless Protection,7500000,4151836,-3348164
Holy Motors,4000000,641054,-3358946
Carousel,3380000,0,-3380000
The Muse,15000000,11614954,-3385046
August,3400000,12636,-3387364
Winter Passing,3500000,107492,-3392508
The Signal,4000000,600896,-3399104
To Write Love On Her Arms,3400000,0,-3400000
From Hell,35000000,31598308,-3401692
D.E.B.S.,3500000,96793,-3403207
300: Rise of an Empire,110000000,106580051,-3419949
Dead Silence,20000000,16574590,-3425410
American Anthem,7000000,3571624,-3428376
He Got Game,25000000,21567853,-3432147
Poolhall Junkies,4000000,563711,-3436289
Four Lions,3750000,310007,-3439993
Lords of London,3440000,0,-3440000
The Boy in the Striped Pyjamas,12500000,9046156,-3453844
Time to Choose,3500000,29233,-3470767
Bulworth,30000000,26528684,-3471316
Surveillance,3500000,27349,-3472651
A Midnight Clear,5000000,1526697,-3473303
Taxman,3500000,9871,-3490129
House of Sand and Fog,16500000,13005485,-3494515
Tristram Shandy: A Cock and Bull Story,4750000,1253413,-3496587
Club Dread,8500000,5001655,-3498345
"Batman: The Dark Knight Returns, Part 2",3500000,0,-3500000
The Secret,3500000,0,-3500000
Dawn Patrol,3500000,0,-3500000
The Kick,3500000,0,-3500000
Wicked Blood,3500000,0,-3500000
In the Name of the King III,3500000,0,-3500000
The Betrayed,3500000,0,-3500000
2:13,3500000,0,-3500000
Teacher's Pet: The Movie,10000000,6491969,-3508031
Joy,60000000,56451232,-3548768
Adrift,35000000,31445011,-3554989
8MM,40000000,36443442,-3556558
Big Fish,70000000,66432867,-3567133
People Like Us,16000000,12431792,-3568208
UtÃ¸ya 22. juli,3600000,0,-3600000
The Loss of Sexual Innocence,4000000,399793,-3600207
Head Over Heels,14000000,10397365,-3602635
The Face of Love,4000000,385069,-3614931
Joe,4000000,373375,-3626625
Prison,4000000,354704,-3645296
The Commuter,40000000,36343858,-3656142
Unknown,3700000,26403,-3673597
The Spy Next Door,28000000,24307106,-3692894
Shooting Fish,4000000,302204,-3697796
Defendor,3750000,44462,-3705538
Adoration,4000000,294244,-3705756
Frankenweenie,39000000,35287788,-3712212
Psycho Beach Party,4000000,267972,-3732028
21 Grams,20000000,16248701,-3751299
Late Night,4000000,246305,-3753695
Down for Life,3800000,41914,-3758086
Kingsman: The Golden Circle,104000000,100234838,-3765162
The Phantom of the Opera,55000000,51225796,-3774204
The Good Heart,3800000,20930,-3779070
Major Dundee,3800000,14873,-3785127
Dumb and Dumberer: When Harry Met Lloyd,30000000,26214846,-3785154
Karakter,4500000,713413,-3786587
Hevi reissu,3800000,10153,-3789847
Shattered Glass,6000000,2207975,-3792025
Nannerl la soeur de Mozart,4500000,707885,-3792115
The Taking of Pelham One Two Three,3800000,0,-3800000
The Straight Story,10000000,6197866,-3802134
Cadillac Records,12000000,8195551,-3804449
Kari gurashi no Arietti,23000000,19192510,-3807490
The Big Tease,4000000,185577,-3814423
Muppets Most Wanted,55000000,51178893,-3821107
Videodrome,5952000,2120439,-3831561
Polina danser sa vie,4000000,165203,-3834797
Barney's Great Adventure,15000000,11156471,-3843529
Desert Dancer,4000000,155271,-3844729
"Guten Tag, Ramon",4000000,154356,-3845644
Mondays in the Sun,4000000,146402,-3853598
Manglehorn,4000000,132270,-3867730
Tau ming chong,4000000,129078,-3870922
Trust,4000000,120016,-3879984
Conspiracy Theory,80000000,76118990,-3881010
The Assassination of Richard Nixon,4600000,708776,-3891224
The Machinist,5000000,1082044,-3917956
The Wackness,6000000,2077046,-3922954
An Everlasting Piece,4000000,75078,-3924922
Among Giants,4000000,64359,-3935641
